Observation_ID,Start_LST,End_LST,Band,Night_only,Visibility_window,Gap_after_LST
20250108111036,0.0,1.8480555555555556,l,No,0.00-6.33,1.78
20250108121135,1.8480555555555556,3.6238888888888887,u,No,0.00-6.33,0.99
20241204050050,3.6238888888888887,4.613333333333333,l,No,0.17-11.25,0.98
20241203234118,4.613333333333333,5.596388888888889,l,No,0.50-12.17,5.50
20250116173308,5.596388888888889,11.095833333333333,l,No,0.50-6.00,0.98
20241203231125,11.095833333333333,12.0725,l,No,1.00-12.17,6.16
20250303131128,12.0725,18.231666666666666,l,No,1.50-14.50,0.99
20241203212334,18.231666666666666,19.219444444444445,l,No,11.58-19.75,0.98
20241203220043,19.219444444444445,20.195555555555558,l,No,11.67-19.50,0.97
20241203221049,20.195555555555558,21.168333333333337,l,No,11.67-20.67,1.04
20250130233548,21.168333333333337,22.205000000000002,u,No,12.00-22.00,7.49
20250123182908,22.205000000000002,29.69638888888889,l,No,15.00-23.83,
